productID,product_title,image_url
160488,L'Oreal Paris Magic Retouch Instant Root Concealer Spray,https://www.nykaa.com/l-oreal-paris-magic-retouch-instant-root-concealer/p/160488
173656,NYX Professional Makeup Suede Matte Lip Liner,https://www.nykaa.com/nyx-professional-makeup-suede-matte-lip-liner/p/173656
176376,Maybelline New York Face Studio Master Contour Palette,https://www.nykaa.com/maybelline-new-york-face-studio-master-contour-palette/p/176376
18423,Maybelline New York The Colossal Liner - Black,https://www.nykaa.com/maybelline-the-colossal-liner/p/18423
18744,L'Oreal Paris Age 20+ Skin Perfect Cream UV Filters,https://www.nykaa.com/l-oreal-paris-age-20-skin-perfect-cream-uv-filters/p/18744
189912,Lakme Absolute Argan Oil Serum Foundation With SPF 45,https://www.nykaa.com/lakme-absolute-argan-oil-serum-foundation-with-spf-45/p/189912
189962,Maybelline New York Facestudio Master Strobing Cream,https://www.nykaa.com/maybelline-new-york-facestudio-master-strobing-cream/p/189962
190741,NYX Professional Makeup Ultimate Multi-Finish Shadow Palette,https://www.nykaa.com/nyx-professional-makeup-ultimate-multi-finish-shadow-palette/p/190741
196392,Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01,https://www.nykaa.com/nykaa-get-winged-eyeliner-black-swan-01/p/196392
209281,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Golden Hazelnut 06,https://www.nykaa.com/nykaa-skingenius-foundation-stick-golden-hazelnut-06/p/209281
209282,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Toffee Chisel 07,https://www.nykaa.com/nykaa-skingenius-foundation-stick-toffee-chisel-07/p/209282
220091,Nykaa GLAMOReyes Coloured Liquid Eyeliner - 05 Dragon's Heart,https://www.nykaa.com/nykaa-glamoreyes-liquid-eyeliner-05-dragon-s-heart/p/220091
222623,Nykaa Bling It On Pouch,https://www.nykaa.com/nykaa-bling-it-on-pouch/p/222623
23694,Olay Total Effects 7 In One Day Cream Normal SPF 15 (Trial Size) 8gm,https://www.nykaa.com/olay-total-effects-7-in-one-day-cream-normal-spf-15-trial-size/p/23694
24093,Lakme Enrich Satin Lipstick,https://www.nykaa.com/lakme-enrich-satin-lipstick/p/24093
248367,Nykaa Party Edit Clutch,https://www.nykaa.com/nykaa-party-edit-clutch/p/248367
250,Maybelline New York Clear Smooth All in One UV+ Lightening Oil Control Two Way Cake SPF 32 PA+++,https://www.nykaa.com/maybelline-clear-glow-pressed-powder/p/250
257862,L'Oreal Paris Infallible Gel Crayon Eyeliner,https://www.nykaa.com/l-oreal-paris-infallible-gel-crayon-eyeliner/p/257862
262993,Olay Total Effects Day Cream For Sensitive Skin - Niacinamide,https://www.nykaa.com/olay-total-effects-7-in-one-touch-of-foundation-bb-creme-spf-15-50gm-new/p/262993
2645328,Nykaa Tea Tree & Salicylic Acid Spot Patch for Pimple Care - Pack Of 2,https://www.nykaa.com/nykaa-tea-tree-salicylic-acid-spot-patch-pack-of-2/p/2645328
