review_id,product_id,user_id,rating,title,review_text
60,103,U060,5.0,Beautiful Conditioner,conditioner stay frizz free buy totally recommendable
61,103,U061,5.0,Amazing conditioner,conditioner thick texture soft smoother part conditioner chemical free give rating happy purchase shampoo
62,103,U062,5.0,Love it!,amaze brand herbal essences loving shampoo conditioner bamboo set conditioner loving result packed ingredient bamboo aloe vera not effect coloured scent fresh conditioner nourishes deeply leaving soft supple totally recommend buy
63,103,U063,5.0,Love this one 😍,conditioner save lot money conditioner fall control find gem work wonderful conditioner rich creamy nourishes proper strength shine
64,103,U064,5.0,Worth Buying,shampoo conditioner bouncy silky shiny post wash fragrance strong stay thick liquid form bottle packaging experience fall worth buying
65,103,U065,5.0,Smooth and shining,smell shine texture creamy pro sulphate free term shiny con chemical ingredient list
66,103,U066,5.0,Good one,curly soft
67,103,U067,5.0,Silky and shiny,conditioner no hairfall apply conditioner fizziness no detangle glossy
68,103,U068,5.0,Good for damaged hair,conditioner shampoo happy shinier smoother cost effective totally satisfied
69,103,U069,5.0,Smoothening conditioner,mild fragrance conditioner softening frizzy end option sulphate paraben range
70,103,U070,5.0,Conditioner for strong and smooth hair,strong silky conditioner herbal essence aloe bamboo conditioner dry frizzy prone hairfall applying conditioner soft compare prone hairfall conditioner chemical free real plant extract hydrate herbal essence shampoo conditioner
71,103,U071,5.0,Best sulphate free conditioner,conditioner leaves no fizz smell mild natural feel softer smoother
72,103,U072,5.0,Soft hair,sulphate paraben free affordable range conditioner smoothen control frizz
73,103,U073,5.0,Tangle free,goodness aloe bamboo soft silky hand condition chemical soft smell
74,103,U074,5.0,Best conditioner,deal bought shampoo conditioned feel shiney manageable
75,103,U075,5.0,Highly recommended,aloe vera condition effectively leave soft bouncy not scared summer heat anymore absolutely conditioner
76,103,U076,5.0,Great for rough frizzy hair,herbalessences bio renew potent bamboo aloe conditioner organically no harmful chemical pure gel white creme form gentle fragrance suit types season super soft frizz free manageable sulphate colorants sls vegan organic herbal
77,103,U077,5.0,Perfect!!,conditioner soft shiny
78,103,U078,5.0,Good conditioner,conditioner strengthen moisturize hydrate gentle texture absolutely real plant extract guy
79,103,U079,5.0,Truly amazed,started conditioner week dry day day herbal essence care range choose bamboo range shiny soft thing notice consistency conditioner spread easily suffering dryness problem range
80,103,U080,5.0,Best brand ever.,herbal essence shampoo conditioner past year lot hairfall dryness game totally change herbal essence absolutely worth price quantity
81,103,U081,5.0,Amazing conditioner,conditioner helped shiny glossy voluminous helped reduce frizziness extent absolutely
82,103,U082,5.0,Good conditioner,thought texture heavy conditioner not manageable
83,103,U083,5.0,Fantastic conditioner!,herbal essence aloe bamboo conditioner absolutely post shampoo leave conditioner minute length rinse transformed smoother shinier mild fragrance conditioner chemical free totally safe recommend herbal essence aloe bamboo conditioner
84,103,U084,5.0,Amazing result,ordered shampoo conditioner frizzy smoothening applying day super tangle free not conditioner shampoo work amazingly
85,103,U085,5.0,Very good conditioner,sulfate free potent aloe bamboo conditioner frizzy dull issue work day frizzy healthy manageable hydrate shiny fragrance
